X,Y,r,PL,RMS,trajectory_id,step_id,PL_squared,RMS_squared,PL_cubed,RMS_cubed,PL_log,RMS_log,PL_sqrt,RMS_sqrt,PL_reciprocal,RMS_reciprocal,PL_RMS,PL_squared_RMS,PL_RMS_squared,PL_squared_RMS_squared,PL_RMS_ratio,RMS_PL_ratio,PL_minus_RMS,PL_plus_RMS,abs_PL_minus_RMS,PL_RMS_harmonic_mean,PL_RMS_geometric_mean,PL^2,PL RMS,RMS^2,PL^3,PL^2 RMS,PL RMS^2,RMS^3
-1818,-779,1977.87,62.2,8.16,0,0,3868.84,66.5856,240641.84800000003,543.3384960000001,4.130354999746742,2.0992441689882706,7.886697661252142,2.85657137141714,0.016077170417980582,0.1225490196063413,507.552,31569.7344,4141.62432,257609.032704,7.622549019514429,0.13118971061072154,54.040000000000006,70.36,54.040000000000006,14.427288231929467,22.52891475415538,3868.84,507.552,66.5856,240641.84800000003,31569.7344,4141.62432,543.338496
-2219,-895,2392.69,63.8,9.18,0,1,4070.4399999999996,84.27239999999999,259694.07199999996,773.6206319999999,4.1557531903523115,2.2170272046432924,7.987490219086343,3.0298514815086235,0.015673981191198002,0.10893246187245172,585.684,37366.6392,5376.579119999999,343025.7478559999,6.94989106746242,0.14388714733519767,54.62,72.97999999999999,54.62,16.050534392962387,24.200909073834396,4070.4399999999996,585.684,84.27239999999999,259694.07199999996,37366.6392,5376.579119999999,773.6206319999999
-1686,-903,1912.59,62.3,7.74,0,2,3881.2899999999995,59.9076,241804.36699999997,463.68482400000005,4.131961425795013,2.046401687614556,7.893034904268446,2.7820855486487113,0.016051364365945342,0.1291989664065995,482.202,30041.184599999997,3732.24348,232518.768804,8.049095607131148,0.12423756019241695,54.559999999999995,70.03999999999999,54.559999999999995,13.769331810374403,21.959098342145108,3881.2899999999995,482.202,59.9076,241804.36699999997,30041.184599999997,3732.24348,463.68482400000005
-2038,-927,2238.92,63.8,9.14,0,3,4070.4399999999996,83.53960000000001,259694.07199999996,763.5519440000002,4.1557531903523115,2.2126603854769997,7.987490219086343,3.023243291566195,0.015673981191198002,0.1094091903707942,583.1320000000001,37203.821599999996,5329.826480000001,340042.929424,6.98030634565667,0.14326018808754976,54.66,72.94,54.66,15.989361118705801,24.148126221303386,4070.4399999999996,583.1320000000001,83.53960000000001,259694.07199999996,37203.8216,5329.826480000001,763.5519440000002
-1805,-1164,2147.77,63.7,8.61,0,4,4057.6900000000005,74.1321,258474.85300000003,638.2773809999999,4.154184562579688,2.152924318451254,7.981227975693966,2.9342801502242417,0.01569858712713391,0.11614401858169404,548.457,34936.710900000005,4722.21477,300805.080849,7.398373983653911,0.13516483516462297,55.09,72.31,55.09,15.169603097752496,23.419158823493213,4057.6900000000005,548.457,74.1321,258474.85300000003,34936.7109,4722.21477,638.2773809999999
-1288,-920,1582.83,63.6,8.73,0,5,4044.96,76.2129,257259.456,665.3386170000001,4.1526134703476485,2.166765369862966,7.974960814950754,2.9546573405388314,0.01572327044022685,0.11454753722663748,555.2280000000001,35312.5008,4847.14044,308278.13198400004,7.285223367614144,0.1372641509431804,54.870000000000005,72.33,54.870000000000005,15.352633761903288,23.56327651240379,4044.96,555.2280000000001,76.2129,257259.456,35312.5008,4847.14044,665.3386170000001
-727,-964,1207.4,62.6,8.44,0,6,3918.76,71.2336,245314.37600000002,601.2115839999999,4.13676527810765,2.132982308619714,7.912016177940993,2.90516780926679,0.01597444089454317,0.11848341232087106,528.3439999999999,33074.3344,4459.22336,279147.382336,7.417061611286528,0.13482428114994435,54.160000000000004,71.04,54.160000000000004,14.874549549528608,22.985734706552236,3918.76,528.3439999999999,71.2336,245314.37600000002,33074.3344,4459.22336,601.2115839999999
-196,-1244,1259.35,61.6,7.96,0,7,3794.5600000000004,63.3616,233744.896,504.358336,4.120661870541097,2.0744289998688545,7.848566748139434,2.821347195933177,0.01623376623373988,0.12562814070193934,490.336,30204.697600000003,3903.0745600000005,240429.39289600003,7.738693467239464,0.12922077922056943,53.64,69.56,53.64,14.098217366282205,22.143531786957563,3794.5600000000004,490.336,63.3616,233744.89600000004,30204.697600000003,3903.0745600000005,504.358336
-711,-1464,1627.52,61.9,7.76,0,8,3831.6099999999997,60.2176,237176.65899999999,467.288576,4.125520179692166,2.048982334208014,7.867655305108378,2.7856776554368237,0.01615508885296259,0.12886597937978267,480.344,29733.293599999997,3727.46944,230730.35833599998,7.976804123608546,0.1253634894989897,54.14,69.66,54.14,13.791099626738744,21.916751584119396,3831.6099999999997,480.344,60.2176,237176.65899999999,29733.293599999997,3727.46944,467.288576
-994,-1334,1663.61,62.8,8.14,0,9,3943.8399999999997,66.2596,247673.15199999997,539.3531440000002,4.139955073475745,2.096790180026734,7.92464510246358,2.8530685235374214,0.015923566878955537,0.12285012284861363,511.192,32102.8576,4161.10288,261317.260864,7.714987714892936,0.12961783439469807,54.66,70.94,54.66,14.411953763723693,22.609555502043822,3943.8399999999997,511.192,66.2596,247673.15199999997,32102.8576,4161.10288,539.353144
-745,-1331,1525.32,62.2,7.9,1,0,3868.84,62.410000000000004,240641.84800000003,493.03900000000004,4.130354999746742,2.066862759485634,7.886697661252142,2.8106938645110393,0.016077170417980582,0.12658227847941034,491.38000000000005,30563.836000000003,3881.9020000000005,241454.30440000002,7.873417721419324,0.1270096463020466,54.300000000000004,70.10000000000001,54.300000000000004,14.019400855900114,22.167092727734957,3868.84,491.38000000000005,62.410000000000004,240641.84800000003,30563.836000000003,3881.9020000000005,493.03900000000004
-1123,-1495,1869.8,63.5,8.21,1,1,4032.25,67.40410000000001,256047.875,553.3876610000002,4.1510399059002205,2.1053529234765174,7.968688725254614,2.8653097563788807,0.015748031496038192,0.1218026796574689,521.335,33104.77250000001,4280.160350000001,271790.18222500006,7.734470158249275,0.12929133858247358,55.29,71.71000000000001,55.29,14.540092037352474,22.83276155001843,4032.25,521.335,67.40410000000001,256047.875,33104.7725,4280.160350000001,553.3876610000002
-1553,-1467,2136.33,62.9,7.98,1,2,3956.41,63.680400000000006,248858.18899999998,508.1695920000001,4.141546163707985,2.0769384114742486,7.930952023559341,2.824889378365107,0.015898251192343563,0.1253132832064497,501.942,31572.1518,4005.4971600000003,251945.77136400001,7.882205513685686,0.12686804451490163,54.92,70.88,54.92,14.163148984178665,22.40406213167603,3956.41,501.942,63.680400000000006,248858.18899999998,31572.1518,4005.4971600000003,508.1695920000001
-1602,-1079,1931.49,63.9,8.89,1,3,4083.21,79.03210000000001,260917.11899999998,702.5953690000001,4.157319361385054,2.184927049537062,7.993747556684537,2.981610303175115,0.01564945226914609,0.11248593925632748,568.071,36299.7369,5050.1511900000005,322704.66104100004,7.187851518479326,0.13912363067270875,55.01,72.78999999999999,55.01,15.608490177200705,23.834240075991517,4083.21,568.071,79.03210000000001,260917.119,36299.7369,5050.1511900000005,702.5953690000001
