X,Y,PL,RMS,PL^3,PL_reciprocal,RMS_PL_ratio,PL_log,PL_squared_RMS
-1818,-779,62.2,8.16,240641.85,0.02,0.13,4.13,31569.73
-2219,-895,63.8,9.18,259694.07,0.02,0.14,4.16,37366.64
-1686,-903,62.3,7.74,241804.37,0.02,0.12,4.13,30041.18
-2038,-927,63.8,9.14,259694.07,0.02,0.14,4.16,37203.82
-1805,-1164,63.7,8.61,258474.85,0.02,0.14,4.15,34936.71
-1288,-920,63.6,8.73,257259.46,0.02,0.14,4.15,35312.5
-727,-964,62.6,8.44,245314.38,0.02,0.13,4.14,33074.33
-196,-1244,61.6,7.96,233744.9,0.02,0.13,4.12,30204.7
-711,-1464,61.9,7.76,237176.66,0.02,0.13,4.13,29733.29
-994,-1334,62.8,8.14,247673.15,0.02,0.13,4.14,32102.86
-745,-1331,62.2,7.9,240641.85,0.02,0.13,4.13,30563.84
-1123,-1495,63.5,8.21,256047.88,0.02,0.13,4.15,33104.77
-1553,-1467,62.9,7.98,248858.19,0.02,0.13,4.14,31572.15
-1602,-1079,63.9,8.89,260917.12,0.02,0.14,4.16,36299.74
-1216,-1103,63.6,8.68,257259.46,0.02,0.14,4.15,35110.25
-1065,-763,63.4,9.25,254840.1,0.02,0.15,4.15,37180.93
-690,-1207,63.2,8.79,252435.97,0.02,0.14,4.15,35109.37
-144,-1093,62.0,8.17,238328.0,0.02,0.13,4.13,31405.48
-350,-729,61.4,7.89,231475.54,0.02,0.13,4.12,29744.98
-354,-1173,61.8,8.07,236029.03,0.02,0.13,4.12,30821.27
-1871,-1036,63.8,9.16,259694.07,0.02,0.14,4.16,37285.23
-1363,-962,62.7,8.49,246491.88,0.02,0.14,4.14,33376.65
-966,-1253,63.4,8.51,254840.1,0.02,0.13,4.15,34206.46
-1302,-1151,64.1,9.39,263374.72,0.02,0.15,4.16,38581.73
-1005,-1037,63.6,9.3,257259.46,0.02,0.15,4.15,37618.13
-674,-776,62.6,8.72,245314.38,0.02,0.14,4.14,34171.59
-235,-780,62.4,8.35,242970.62,0.02,0.13,4.13,32512.9
6,-1049,62.6,8.23,245314.38,0.02,0.13,4.14,32251.39
-414,-1421,62.4,8.43,242970.62,0.02,0.14,4.13,32824.4
58,-1340,65.2,10.15,277167.81,0.02,0.16,4.18,43148.06
-1516,-1220,64.8,9.72,272097.79,0.02,0.15,4.17,40814.67
-1891,-1403,63.0,8.5,250047.0,0.02,0.13,4.14,33736.5
-1327,-1370,63.4,8.68,254840.1,0.02,0.14,4.15,34889.78
-1145,-832,63.7,8.74,258474.85,0.02,0.14,4.15,35464.21
-733,-778,63.0,9.22,250047.0,0.02,0.15,4.14,36594.18
-597,-1278,62.4,8.54,242970.62,0.02,0.14,4.13,33252.71
-388,-743,63.3,9.03,253636.14,0.02,0.14,4.15,36182.22
158,-913,62.1,7.68,239483.06,0.02,0.12,4.13,29617.23
199,-1234,62.6,7.96,245314.38,0.02,0.13,4.14,31193.33
325,-1517,61.5,6.96,232608.38,0.02,0.11,4.12,26324.46
-781,-1314,63.7,8.88,258474.85,0.02,0.14,4.15,36032.29
-969,-788,63.4,9.13,254840.1,0.02,0.14,4.15,36698.58
-1128,-1086,62.8,8.42,247673.15,0.02,0.13,4.14,33207.13
-981,-585,64.0,9.3,262144.0,0.02,0.15,4.16,38092.8
-671,-634,62.6,8.81,245314.38,0.02,0.14,4.14,34524.28
-191,-512,64.2,10.02,264609.29,0.02,0.16,4.16,41298.83
-507,-496,62.1,8.85,239483.06,0.02,0.14,4.13,34129.23
-872,-942,63.3,8.55,253636.14,0.02,0.14,4.15,34258.91
-1162,-745,64.7,9.89,270840.02,0.02,0.15,4.17,41400.43
-857,-630,64.1,9.64,263374.72,0.02,0.15,4.16,39608.93
-1230,-707,64.1,9.45,263374.72,0.02,0.15,4.16,38828.25
-1160,-1031,64.1,9.4,263374.72,0.02,0.15,4.16,38622.81
-773,-985,62.3,8.3,241804.37,0.02,0.13,4.13,32214.71
-434,-1223,62.3,8.37,241804.37,0.02,0.13,4.13,32486.4
-288,-805,62.0,7.94,238328.0,0.02,0.13,4.13,30521.36
-572,-1037,62.5,8.05,244140.62,0.02,0.13,4.14,31445.31
-964,-1093,63.4,9.35,254840.1,0.02,0.15,4.15,37582.89
-1062,-1448,62.8,8.18,247673.15,0.02,0.13,4.14,32260.61
-1247,-1204,63.0,9.14,250047.0,0.02,0.15,4.14,36276.66
-1230,-1508,62.9,8.39,248858.19,0.02,0.13,4.14,33194.28
-2780,-1119,63.8,9.1,259694.07,0.02,0.14,4.16,37041.0
-2256,-1284,62.6,8.55,245314.38,0.02,0.14,4.14,33505.4
