X,Y,r,PL,RMS
-1818,-779,1977.87,62.2,8.16
-2219,-895,2392.69,63.8,9.18
-1686,-903,1912.59,62.3,7.74
-2038,-927,2238.92,63.8,9.14
-1805,-1164,2147.77,63.7,8.61
-1288,-920,1582.83,63.6,8.73
-727,-964,1207.4,62.6,8.44
-196,-1244,1259.35,61.6,7.96
-711,-1464,1627.52,61.9,7.76
-994,-1334,1663.61,62.8,8.14
-745,-1331,1525.32,62.2,7.9
-1123,-1495,1869.8,63.5,8.21
-1553,-1467,2136.33,62.9,7.98
-1602,-1079,1931.49,63.9,8.89
-1216,-1103,1641.73,63.6,8.68
-1065,-763,1310.11,63.4,9.25
-690,-1207,1390.31,63.2,8.79
-144,-1093,1102.45,62.0,8.17
-350,-729,808.67,61.4,7.89
-354,-1173,1225.25,61.8,8.07
-1871,-1036,2138.68,63.8,9.16
-1363,-962,1668.3,62.7,8.49
-966,-1253,1582.14,63.4,8.51
-1302,-1151,1737.82,64.1,9.39
-1005,-1037,1444.09,63.6,9.3
-674,-776,1027.84,62.6,8.72
-235,-780,814.63,62.4,8.35
6,-1049,1049.02,62.6,8.23
-414,-1421,1480.08,62.4,8.43
58,-1340,1341.25,65.2,10.15
-1516,-1220,1945.93,64.8,9.72
-1891,-1403,2354.63,63.0,8.5
-1327,-1370,1907.31,63.4,8.68
-1145,-832,1415.36,63.7,8.74
-733,-778,1068.91,63.0,9.22
-597,-1278,1410.56,62.4,8.54
-388,-743,838.21,63.3,9.03
158,-913,926.57,62.1,7.68
199,-1234,1249.94,62.6,7.96
325,-1517,1551.42,61.5,6.96
-781,-1314,1528.58,63.7,8.88
-969,-788,1248.96,63.4,9.13
-1128,-1086,1565.82,62.8,8.42
-981,-585,1142.18,64.0,9.3
-671,-634,923.15,62.6,8.81
-191,-512,546.47,64.2,10.02
-507,-496,709.27,62.1,8.85
-872,-942,1283.65,63.3,8.55
-1162,-745,1380.31,64.7,9.89
-857,-630,1063.65,64.1,9.64
-1230,-707,1418.71,64.1,9.45
-1160,-1031,1551.95,64.1,9.4
-773,-985,1252.1,62.3,8.3
-434,-1223,1297.72,62.3,8.37
-288,-805,854.97,62.0,7.94
-572,-1037,1184.29,62.5,8.05
-964,-1093,1457.38,63.4,9.35
-1062,-1448,1795.7,62.8,8.18
-1247,-1204,1733.39,63.0,9.14
-1230,-1508,1946.01,62.9,8.39
-2780,-1119,2996.76,63.8,9.1
-2256,-1284,2595.8,62.6,8.55
-1736,-1129,2070.83,63.8,9.05
-1168,-1054,1573.26,63.2,8.68
-749,-795,1092.26,62.3,8.57
-1235,-849,1498.67,63.5,9.02
-992,-1081,1467.18,62.6,8.14
-1463,-749,1643.58,63.8,8.86
-1914,-932,2128.85,63.8,9.05
-2222,-1150,2501.96,62.5,8.25
-162,-1065,1077.25,62.2,8.63
-526,-598,796.42,62.0,8.37
-246,-981,1011.37,63.4,8.8
-816,-1138,1400.32,62.6,8.22
-961,-1414,1709.65,62.4,7.96
-976,-1059,1440.16,63.5,8.75
-646,-744,985.32,63.0,8.81
-170,-619,641.92,62.5,8.99
136,-880,890.45,62.3,8.44
146,-1375,1382.73,62.2,8.0
-555,-473,729.21,61.7,7.97
-535,-794,957.42,62.3,8.57
-795,-1023,1295.59,62.5,8.32
-579,-718,922.37,62.4,8.32
-889,-627,1087.86,62.3,8.57
-1119,-1133,1592.44,63.5,8.45
-1187,-793,1427.52,64.1,10.22
-1530,-1135,1905.03,63.6,8.8
-1101,-1300,1703.58,62.7,8.28
-1427,-1445,2030.85,63.6,8.38
-334,-927,985.33,64.2,10.18
63,-948,950.09,63.1,8.66
-314,-1083,1127.6,62.8,8.76
-820,-1324,1557.36,62.6,8.25
-764,-824,1123.69,62.0,8.23
-673,-1115,1302.36,63.0,8.6
-638,-662,919.4,62.5,7.97
-1045,-864,1355.92,62.5,8.2
-1352,-1149,1774.29,63.2,8.39
-1904,-984,2143.24,62.8,8.13
-1939,-991,2177.57,64.0,9.35
-1688,-1401,2193.66,62.4,7.92
-1933,-1132,2240.07,63.4,8.64
-1582,-772,1760.31,62.5,7.85
-1227,-596,1364.09,63.4,8.81
-845,-903,1236.7,63.2,8.69
-806,-498,947.44,63.1,9.1
-769,-841,1139.58,62.8,8.85
-1093,-814,1362.81,63.2,8.81
-943,-1314,1617.36,62.8,8.88
-573,-1262,1385.99,62.6,8.62
-297,-909,956.29,63.3,9.36
-768,-1097,1339.12,62.3,8.2
-1032,-874,1352.37,63.4,8.84
-1172,-464,1260.51,63.3,9.06
-1174,-812,1427.45,64.0,9.3
-759,-877,1159.83,63.2,8.45
-1056,-501,1168.82,62.8,8.18
-1610,-521,1692.2,63.6,8.9
-1448,-1071,1801.04,63.6,9.0
-1287,-1017,1640.32,63.4,8.61
-1666,-1069,1979.47,64.2,9.12
-1681,-572,1775.65,63.4,8.86
-1895,-982,2134.33,63.7,8.94
-1651,-1280,2089.07,63.7,8.97
-2235,-1178,2526.44,62.7,8.24
-1833,-1425,2321.75,63.9,8.96
-1354,-1227,1827.25,62.7,8.03
-1917,-1183,2252.64,64.2,9.29
-1487,-1437,2067.88,64.0,9.22
-1183,-921,1499.24,64.7,9.85
-873,-834,1207.35,62.7,8.32
-1099,-1263,1674.21,63.4,8.39
-863,-1019,1335.34,63.4,9.02
-759,-486,901.26,62.4,8.77
-1080,-985,1461.72,63.8,8.73
-1332,-473,1413.49,63.5,8.93
-1687,-478,1753.41,63.8,9.02
-2250,-602,2329.14,62.4,8.01
-2580,-515,2630.9,63.8,9.31
-799,-1534,1729.61,62.1,7.7
-519,-1282,1383.07,62.2,8.44
-332,-1012,1065.07,62.0,8.14
-667,-831,1065.57,63.0,8.79
-322,-732,799.69,63.9,9.44
-743,-673,1002.49,63.0,9.05
-452,-765,888.55,63.5,9.41
-175,-990,1005.35,63.3,8.92
147,-1191,1200.04,61.7,8.22
251,-723,765.33,62.4,8.59
-846,-1260,1517.67,64.1,9.03
-668,-866,1093.7,62.2,8.16
-1122,-1056,1540.79,63.7,8.68
-1434,-864,1674.17,63.2,8.38
-1359,-1169,1792.61,63.9,9.04
-1038,-1000,1441.33,63.8,9.11
-486,-905,1027.24,62.2,8.3
-304,-1184,1222.4,62.8,8.77
124,-778,787.82,63.5,9.4
527,-902,1044.67,64.1,9.65
-2076,-1409,2509.0,62.3,7.82
-2270,-1136,2538.38,63.6,9.0
-1915,-1338,2336.12,63.0,8.38
-1536,-1468,2124.69,64.1,9.15
-1775,-1049,2061.8,63.5,8.36
-1780,-746,1930.0,62.4,7.7
-2089,-642,2185.43,63.7,9.18
-2118,-1108,2390.31,62.7,8.34
-1634,-770,1806.34,64.3,9.68
-1528,-1289,1999.08,66.2,10.61
-121,-1330,1335.49,61.3,7.54
