X,Y,PL,RMS
-1818,-779,66.5,7.36
-2219,-895,65.8,8.14
-1686,-903,67.1,7.85
-2038,-927,69.2,7.74
-1805,-1164,65.8,8.91
-1288,-920,66.1,8.73
-727,-964,65.6,8.84
-196,-1244,67,8.15
-711,-1464,68.6,7.45
-994,-1334,68.5,7.34
-745,-1331,66.9,7.31
-1123,-1495,67.5,6.77
-1553,-1467,67.3,8.12
-1602,-1079,66.5,9.02
-1216,-1103,68.1,8.44
-1065,-763,68.5,7.21
-690,-1207,65.7,9.08
-144,-1093,66.4,8.04
-350,-729,66.9,6.82
-354,-1173,67.4,7.05
-1871,-1036,64.8,7.88
-1363,-962,67.5,7.13
-966,-1253,68.4,7.66
-1302,-1151,66.1,9.5
-1005,-1037,67.7,7.87
-674,-776,68.7,9.71
-235,-780,67.2,7.14
6,-1049,67.4,7.04
-414,-1421,65.5,9.04
58,-1340,65.5,9.51
-1516,-1220,66.9,6.85
-1891,-1403,67.1,10.04
-1327,-1370,66.5,8.35
-1145,-832,65.6,8.37
-733,-778,67.2,7.45
-597,-1278,68.3,9.51
-388,-743,65.4,8.54
158,-913,67.9,7.41
199,-1234,68.1,7.2
325,-1517,70,7.11
-781,-1314,67.1,8.69
-969,-788,67.1,7.35
-1128,-1086,67.6,8.5
-981,-585,67.1,9.37
-671,-634,66.2,8.89
-191,-512,66.2,7.57
-507,-496,67.2,7.49
-872,-942,68.9,8.95
-1162,-745,66.1,8.29
-857,-630,66.7,8.79
-1230,-707,68.4,7.57
-1160,-1031,67.2,9.12
-773,-985,66.3,8.95
-434,-1223,67.6,8.47
-288,-805,67.6,7.64
-572,-1037,67.1,7.62
-964,-1093,67,6.97
-1062,-1448,68.4,9.36
-1247,-1204,66.9,7.07
-1230,-1508,67.6,6.59
-2780,-1119,64.8,7.92
-2256,-1284,65.3,8.56
-1736,-1129,66,8.43
-1168,-1054,66.1,8.95
-749,-795,66,7.42
-1235,-849,69.4,7.87
-992,-1081,67.9,8.41
-1463,-749,66.1,7.55
-1914,-932,67.2,7.24
-2222,-1150,67.6,7.17
-162,-1065,66.9,8.9
-526,-598,66.7,7.53
-246,-981,66.9,7.13
-816,-1138,67.2,7.1
-961,-1414,68.3,9.17
-976,-1059,68.2,8.59
-646,-744,66.6,9.11
-170,-619,66.3,8.35
136,-880,68.6,7.74
146,-1375,67.6,6.62
-555,-473,66.7,7.36
-535,-794,68.2,7.99
-795,-1023,67.6,8.54
-579,-718,65.7,7.33
-889,-627,66.9,7.34
-1119,-1133,68,8.89
-1187,-793,67.4,7.55
-1530,-1135,66,8.98
-1101,-1300,66.5,6.87
-1427,-1445,68.6,6.92
-334,-927,66.1,8.99
63,-948,66.1,7.3
-314,-1083,65.7,7.31
-820,-1324,67.2,8.48
-764,-824,66.8,7.58
-673,-1115,66.9,8.4
-638,-662,67.2,7.95
-1045,-864,68,8.02
-1352,-1149,66.9,7.12
-1904,-984,66.4,7.3
-1939,-991,69.4,7.51
-1688,-1401,67.1,8.24
-1933,-1132,66,8.68
-1582,-772,66,8.01
-1227,-596,66.8,8.78
-845,-903,69,8.85
-806,-498,68.2,8.09
-769,-841,65.7,7.06
