X,Y,PL,RMS
2754,-1330,70.5,12.59
2729,-805,70.8,11.37
2932,-1121,68.9,12.27
2920,-669,68.9,10.82
3120,-1138,67.2,10.23
3143,-571,67.4,10.05
3674,-824,70.1,11.28
3402,-448,69.8,11.33
3514,-126,69.9,10.62
3512,218,69.8,10.31
1829,104,70.1,11.03
2120,29,68.1,10.66
1675,-278,69.8,11.94
1837,-697,69.4,11.37
2295,-742,67.8,9.98
2719,-1111,69,11.66
2836,-607,69,11.47
3325,-499,66.8,9.46
2988,-392,69.2,10.82
3451,-352,68.9,10.49
4065,-365,68.9,10.93
4470,-139,71.4,11.7
4821,-306,71.8,11.5
4906,-823,67.6,10.58
4551,-793,71.8,12.84
4085,-595,69,11.36
3750,-478,68.8,10.63
3608,-94,67.9,11.44
3121,-120,69.5,12.41
2588,-156,69.2,11.61
2003,-1337,67.3,10.07
1729,-1480,67.9,11.2
1943,-1003,69.6,12.62
1972,-554,70.5,12.02
2307,-844,70.3,12.82
2870,-742,67.6,10.9
2388,-711,67.7,10.81
2627,-289,69.4,11.5
3180,-364,68.7,11.54
3054,-891,68.5,10.95
1933,-1732,69.4,10.64
1689,-1986,68,11.28
1580,-1583,68.7,12.28
1080,-1354,69.5,12.92
1618,-1301,68.5,11.71
1935,-1333,69.7,12.45
2144,-969,70,11.73
2503,-685,71.1,12.5
2208,-380,69.5,11.09
2367,91,70.7,11.19
1250,-1001,70.1,11.16
1440,-1245,67,9.72
1153,-1614,68.1,10.47
750,-1218,67.3,10.74
932,-751,67.1,10.61
610,-595,67.8,11.05
202,-549,68.8,11.4
520,-248,68.6,11.88
17,-565,68.1,10.29
69,-222,70.1,11.59
-564,-917,67.3,9.79
-745,-530,68.5,11.56
-1067,-593,68.9,10.75
-1338,-989,69.7,11.84
-1707,-748,70.2,12.13
-1490,-1208,70.3,11.14
-1591,-1708,68,12.21
-1108,-1804,70.1,11.46
-1412,-1865,70,13.66
-1558,-1580,69.4,12.17
417,-910,68.9,11.42
-53,-758,66,8.94
-540,-629,66.7,9.76
-798,-1046,70.5,11.83
-724,-1626,67.4,10.57
-937,-1333,69.6,11.22
