,r,PL,RMS,source_file,PL_RMS_ratio,RMS_PL_ratio,PL_RMS_product,PL_RMS_diff,PL_RMS_abs_diff,PL_squared,RMS_squared,PL_sqrt,RMS_sqrt,PL_log,RMS_log,PL_exp,RMS_exp,PL_group_mean,PL_group_std,PL_normalized,RMS_group_mean,RMS_group_std,RMS_normalized,interaction_H_H,interaction_H_L,interaction_H_M,interaction_H_VH,interaction_L_H,interaction_L_L,interaction_L_M,interaction_L_VL,interaction_M_H,interaction_M_L,interaction_M_M,interaction_M_VH,interaction_M_VL,interaction_VH_H,interaction_VH_M,interaction_VH_VH,interaction_VL_H,interaction_VL_L,interaction_VL_M,interaction_VL_VL
0,1977.870,62.200,8.160,FCPR-D1_CIR.csv,7.623,0.131,507.552,54.040,54.040,3868.840,66.586,7.887,2.857,4.146,2.215,1.863,2.261,63.069,0.782,-1.111,8.650,0.574,-0.854,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1,2392.690,63.800,9.180,FCPR-D1_CIR.csv,6.950,0.144,585.684,54.620,54.620,4070.440,84.272,7.987,3.030,4.171,2.320,1.893,2.504,63.069,0.782,0.935,8.650,0.574,0.923,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2,1912.590,62.300,7.740,FCPR-D1_CIR.csv,8.049,0.124,482.202,54.560,54.560,3881.290,59.908,7.893,2.782,4.148,2.168,1.865,2.168,63.069,0.782,-0.983,8.650,0.574,-1.585,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3,2238.920,63.800,9.140,FCPR-D1_CIR.csv,6.980,0.143,583.132,54.660,54.660,4070.440,83.540,7.987,3.023,4.171,2.316,1.893,2.494,63.069,0.782,0.935,8.650,0.574,0.854,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
4,2147.770,63.700,8.610,FCPR-D1_CIR.csv,7.398,0.135,548.457,55.090,55.090,4057.690,74.132,7.981,2.934,4.170,2.263,1.891,2.366,63.069,0.782,0.807,8.650,0.574,-0.070,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,1582.830,63.600,8.730,FCPR-D1_CIR.csv,7.285,0.137,555.228,54.870,54.870,4044.960,76.213,7.975,2.955,4.168,2.275,1.889,2.394,63.069,0.782,0.679,8.650,0.574,0.139,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,1207.400,62.600,8.440,FCPR-D1_CIR.csv,7.417,0.135,528.344,54.160,54.160,3918.760,71.234,7.912,2.905,4.153,2.245,1.870,2.326,63.069,0.782,-0.600,8.650,0.574,-0.366,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,1259.350,61.600,7.960,FCPR-D1_CIR.csv,7.739,0.129,490.336,53.640,53.640,3794.560,63.362,7.849,2.821,4.137,2.193,1.852,2.217,63.069,0.782,-1.879,8.650,0.574,-1.202,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
8,1627.520,61.900,7.760,FCPR-D1_CIR.csv,7.977,0.125,480.344,54.140,54.140,3831.610,60.218,7.868,2.786,4.142,2.170,1.857,2.173,63.069,0.782,-1.495,8.650,0.574,-1.551,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
9,1663.610,62.800,8.140,FCPR-D1_CIR.csv,7.715,0.130,511.192,54.660,54.660,3943.840,66.260,7.925,2.853,4.156,2.213,1.874,2.257,63.069,0.782,-0.344,8.650,0.574,-0.889,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
10,1525.320,62.200,7.900,FCPR-D1_CIR.csv,7.873,0.127,491.380,54.300,54.300,3868.840,62.410,7.887,2.811,4.146,2.186,1.863,2.203,63.069,0.782,-1.111,8.650,0.574,-1.307,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
11,1869.800,63.500,8.210,FCPR-D1_CIR.csv,7.734,0.129,521.335,55.290,55.290,4032.250,67.404,7.969,2.865,4.167,2.220,1.887,2.273,63.069,0.782,0.551,8.650,0.574,-0.767,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12,2136.330,62.900,7.980,FCPR-D1_CIR.csv,7.882,0.127,501.942,54.920,54.920,3956.410,63.680,7.931,2.825,4.157,2.195,1.876,2.221,63.069,0.782,-0.216,8.650,0.574,-1.167,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
13,1931.490,63.900,8.890,FCPR-D1_CIR.csv,7.188,0.139,568.071,55.010,55.010,4083.210,79.032,7.994,2.982,4.173,2.292,1.895,2.433,63.069,0.782,1.063,8.650,0.574,0.418,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
14,1641.730,63.600,8.680,FCPR-D1_CIR.csv,7.327,0.136,552.048,54.920,54.920,4044.960,75.342,7.975,2.946,4.168,2.270,1.889,2.382,63.069,0.782,0.679,8.650,0.574,0.052,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15,1310.110,63.400,9.250,FCPR-D1_CIR.csv,6.854,0.146,586.450,54.150,54.150,4019.560,85.562,7.962,3.041,4.165,2.327,1.885,2.522,63.069,0.782,0.423,8.650,0.574,1.045,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,1390.310,63.200,8.790,FCPR-D1_CIR.csv,7.190,0.139,555.528,54.410,54.410,3994.240,77.264,7.950,2.965,4.162,2.281,1.881,2.408,63.069,0.782,0.168,8.650,0.574,0.244,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
