X,Y,PL,RMS
2754,-1330,68.81,13.6
2729,-805,65.78,11.75
2932,-1121,66.98,12.58
2920,-669,67.15,12.66
3120,-1138,67.38,12.16
3143,-571,67.07,12.68
3674,-824,68.37,13.36
3402,-448,65.65,11.53
3514,-126,65.25,11.31
3512,218,66.11,12.09
1829,104,65.87,10.96
2120,29,64.09,10.01
1675,-278,66.32,12.46
1837,-697,67.82,13.2
2295,-742,64.61,10.64
2719,-1111,66.42,12.29
2836,-607,65.11,10.54
3325,-499,65.27,10.56
2988,-392,66.58,11.88
3451,-352,67.29,12.03
4065,-365,65.07,10.24
4470,-139,64.39,9.54
4821,-306,65.41,10.63
4906,-823,70.12,12.63
4551,-793,69.97,12.94
4085,-595,66.61,11.38
3750,-478,67.25,12.5
3608,-94,66,11.2
3121,-120,65.29,11.41
2588,-156,64.3,10.53
2003,-1337,66.22,11.36
1729,-1480,65.95,11.07
1943,-1003,68,13.08
1972,-554,64.02,10.09
2307,-844,65.61,11.03
2870,-742,70.45,12.58
2388,-711,66.04,11.79
2627,-289,65.54,11.16
3180,-364,69.78,13.21
3054,-891,70.53,11.63
1933,-1732,66.19,11.81
1689,-1986,65.56,11.37
1580,-1583,68.9,12.82
1080,-1354,67.45,11.6
1618,-1301,67.59,12.73
1935,-1333,66.38,11.39
2144,-969,65.84,11.38
2503,-685,66.9,12.43
2208,-380,64.5,10.63
2367,91,64.66,10.91
1250,-1001,66.81,12.47
1440,-1245,67.81,13.47
1153,-1614,66.96,12.2
750,-1218,67.37,12.41
932,-751,65.19,10.21
610,-595,66.3,11.51
202,-549,64,10.15
520,-248,68.45,12.86
17,-565,64.74,10.26
69,-222,63.75,9.95
-564,-917,69.46,13.32
-745,-530,65.61,11.03
-1067,-593,68.46,12.78
-1338,-989,66.55,11.22
-1707,-748,65.29,11.07
-1490,-1208,68.29,11.76
-1591,-1708,69.65,12.87
-1108,-1804,67.75,13.05
-1412,-1865,64.74,9.75
-1558,-1580,67.53,12.65
417,-910,68.6,13.04
-53,-758,66.45,10.94
-540,-629,67.77,13.36
-798,-1046,68.79,13.86
-724,-1626,67.71,12.46
-937,-1333,67.64,11.88
-1206,-1770,70.36,13.71
-1527,-1583,68.1,12.94
-1344,-1864,68.94,13.41
-1104,-2282,68.44,14.1
507,-2159,65.16,10.77
251,-1846,65.53,11.07
221,-2190,63.34,9.31
-154,-1898,65.9,11.13
-308,-2243,63.1,9.06
-397,-2543,67.1,12.34
-890,-2356,66.69,12.23
-519,-2311,64.88,9.97
-730,-1932,66.43,11.29
-1181,-1700,66.09,11.22
1435,-2369,70.68,13.48
1672,-1849,70.35,13.66
2098,-1567,66.4,12.01
1696,-1474,68.17,12.63
2216,-1443,65.98,11.34
2721,-1742,65.49,10.97
2432,-2104,69.76,12.63
2894,-2099,66.72,11.73
3280,-2025,66.18,11.57
3363,-1715,65.65,10.77
2338,-1398,65.43,11.12
2615,-1195,69.04,13.51
2147,-1218,65.44,10.3
1889,-1372,66.99,11.56
1931,-1901,71.1,13.49
2413,-1624,65.65,10.72
2110,-2113,64.77,10.56
1516,-2176,69.63,14.22
1731,-1779,67.36,12.94
2084,-1922,65.95,11.8
1610,-1977,66.81,12.78
1592,-1434,66.3,10.89
2112,-1367,68.98,12.94
2410,-1522,65.52,10.64
2150,-1898,70.91,13.63
2513,-2062,65.13,11.2
2753,-1665,70.74,14.01
3122,-1865,66.48,11.33
3239,-2272,68.79,12.85
2927,-2437,65.66,10.49
2491,-1160,66.88,12.51
2217,-915,65.93,11.37
1930,-1211,68.17,12.81
2253,-1167,67.99,13.39
2670,-1429,68.39,12.84
2780,-1765,67.91,12.59
2772,-2078,67.55,12.78
2972,-2555,63.75,9.32
2672,-2285,64.32,9.62
2303,-2619,64.85,10.39
4186,-556,66.57,11.78
4034,-981,67.5,12.02
3944,-1456,66.55,11.53
3632,-1008,66.28,10.95
3174,-1057,66.87,11.61
2837,-1183,66.03,11.82
3079,-820,67.12,11.97
2683,-983,66.89,11.39
2482,-1538,64.84,10.65
2047,-1321,66.02,11.26
1491,-1516,67.99,12.96
1009,-1530,67.01,11.32
614,-1860,67.97,13.19
494,-2262,64.95,10.29
79,-1889,66.65,12.62
2,-2461,65.45,11.66
401,-2803,65.92,11.21
763,-2670,65.25,11.28
1111,-2259,67.84,12.49
1334,-2518,65.68,11.35
-108,-1669,65.77,11.7
-543,-1819,67.48,12.82
-623,-1310,67.66,12.63
-604,-957,67.18,12.06
-587,-557,65.6,11.23
-385,-263,65.36,10.66
-4,-370,64.4,10.39
383,-536,65.93,11.4
578,-958,66.03,11.19
535,-1269,65.55,10.75
1345,10,67,12.79
782,-5,69.52,13.72
824,-495,67.9,13.02
1137,-395,69.03,13.75
1051,-962,68,13.03
958,-1257,70.39,13.89
657,-1178,69.37,13.61
138,-1473,65.4,10.94
-131,-1044,67.39,13.14
67,-681,64.81,10.72
2090,-1527,66.88,12.38
1539,-1408,66.5,12.3
1341,-1023,68.07,12.45
980,-1408,65.55,10.69
1040,-930,69.16,13.76
571,-1188,70.65,13.59
304,-1389,67.26,12.19
-176,-1738,66,11.43
-703,-1562,67.53,12.88
-395,-1492,68.81,13.38
3177,-875,65.51,10.41
2785,-562,65.67,11.19
3209,-495,71.23,12.9
2967,-943,68.04,13.48
3164,-1265,71.59,12.94
3461,-1319,68.23,12.58
3892,-1158,69.03,12.97
3526,-1040,70.26,13.09
3019,-1329,67.63,12.2
2797,-1856,65.81,10.59
4535,-970,67.88,12.06
3983,-736,66.53,11.58
4198,-1149,69.8,13.57
3840,-869,69,12.32
3538,-1130,66.45,11.13
3717,-1520,68.49,13.01
4056,-1813,64.76,9.25
